# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G67287	1072	951	4
G67284	52511	47114	514
G67285	76281	66090	927
G67282	21011	18854	218
G67283	23196	20957	117
G67280	27368	24892	146
G67281	79527	67174	1374
G67288	108503	95718	1162
G67289	73295	62530	366
G67349	55168	50187	344
G67348	36682	32661	584
G67343	10681	9118	223
G67342	20275	17991	199
G67341	15850	14061	525
G67340	17327	15655	129
G67347	79223	72256	592
G67346	23362	20768	477
G67345	8030	6992	117
G67344	34412	30246	181
G67237	23440	20783	146
G67236	31732	27512	432
G67235	27409	24827	84
G67234	129042	114033	391
G67233	15293	7843	80
G67232	103913	58794	1220
G67231	48242	25643	137
G67230	24618	13468	420
G67239	20374	18378	169
G67238	21119	18913	53
G67338	66937	59029	249
G67339	7399	6387	70
G67336	162044	143963	1458
G67337	39285	33886	488
G67334	23103	19551	81
G67335	25710	22576	156
G67332	33866	30098	227
G67333	25963	23031	247
G67330	142808	125939	742
G67331	19012	16441	237
G67268	14913	13392	71
G67269	16057	13552	193
G69125	35945	11381	412
G69124	166872	40740	1422
G69048	19244	17830	37
G69049	87644	16246	251
G69121	59817	15268	476
G69120	166755	28965	2128
G69123	26197	23779	369
G69122	105339	20388	548
G69042	37616	9237	24
G69043	14857	3652	4
G69040	27393	6096	12
G69041	49454	9410	25
G69129	61045	13633	114
G69128	100546	26370	675
G69044	26502	6613	30
G69045	23795	5378	13
G67262	15660	14128	261
G67308	128839	113929	1222
G67401	20873	17919	603
G67402	91380	81061	301
G67372	142400	114118	10415
G67373	125951	108940	717
G67279	134804	112381	9584
G67371	163998	146350	442
G67376	17672	15014	144
G67377	69880	61191	1397
G67374	112471	97273	913
G67375	141172	125330	1555
G67273	57720	50919	527
G67272	168918	149635	1606
G67378	20069	17735	68
G67379	21066	18738	205
G67277	81307	73663	88
G67276	101186	86148	3761
G67275	16064	13981	123
G67274	61655	55599	1155
G67405	76743	67819	820
G69088	48821	12509	82
G69089	117736	23697	714
G69086	122249	23743	507
G69087	37139	8555	38
G69084	49771	15279	269
G69085	50909	14354	143
G69082	165244	33790	1424
G69083	134915	28394	1951
G69080	84038	20723	736
G69081	140839	38798	385
G67208	23702	15316	175
G67209	617	379	12
G67206	40445	30137	73
G67207	38102	21897	110
G67204	49154	24310	1941
G67205	59532	28856	423
G67202	57469	33032	273
G67203	34532	31543	144
G67200	75881	40891	408
G67201	24043	12653	387
G67407	63819	57601	75
G69127	38397	11105	54
G69126	85667	17684	393
G69017	67502	18849	91
G69016	77080	19320	72
G69019	23131	6531	13
G69018	30466	6997	28
G67295	15867	13445	192
G67294	127067	111177	2559
G67297	123046	108629	1000
G67296	32506	29836	109
G67291	16795	14664	141
G67290	178193	161971	1676
G67293	52282	46080	226
G67292	30696	26882	311
G67299	36586	31639	283
G67298	27691	24513	232
