#OTU ID	G63402	G63403	G63406	G63407	G63409	G63410	G63411	G63413	G75226	G75227	G75228	G75229	G75230	G75231	G75232	G75233	G75234	G75235	G75236	G75237	G51190
OTU260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
OTU234	0	0	0	0	0	0	9	2	1	0	0	0	0	0	0	0	0	0	19	1	0
OTU241	0	0	0	4	0	19	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0
OTU253	0	0	0	2	1	2	0	10	4	0	0	0	0	0	0	0	0	0	4	9	0
OTU226	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	15	0	0
OTU580	0	0	0	5	0	19	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6
OTU270	0	0	12	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3	5
OTU232	0	0	0	22	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU559	21	2	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0
OTU258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
OTU314	14	0	0	0	0	0	4	0	0	7	0	0	1	0	0	0	0	3	0	0	0
OTU246	0	0	1	3	0	8	0	9	7	0	0	0	0	0	0	0	0	0	1	0	0
