# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
319260	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
369555	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	11	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
OTU791	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	Unclassified
294791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
208539	1	0	0	0	0	0	0	0	0	1	42	2	1	2	0	0	12	0	4	3	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
513685	0	0	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU620	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	Unclassified
535901	0	0	0	0	0	0	0	0	0	0	596	0	0	61	141	0	0	0	1	4449	48	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__
OTU614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	Unclassified
210890	0	0	0	0	0	0	0	0	13	3	0	2	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
269386	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__YS2; f__; g__; s__
OTU291	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	7	0	0	0	Unclassified
843569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__; s__
657390	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	1	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Megasphaera; s__
258099	0	0	0	6	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
