#OTU ID	G85645	G76498	G76499	G85646	G85647	G76500	G85648	G76501	G85649	G76502	G76503	G85650	G85651	G76504	G85652	G76505	G76506	G76507	G85654	G85655	G76508	G85656	G76509	G85657	G76511	G85658	G76512	G85659	G76514	G76515	G76516	G76517	G85662	G85663	G76518	G85664	G76519	G85665	G76520	G76521	G85667	G76522	G85668	G76523	G76524	G85669	G85670	G76525	G85671	G76526	G85672	G76527	G85673	G76528	G76529	G85674	G85675	G76530	G85676	G76531	G85677	G76532	G85678	G76533	G85679	G76534	G85680	G76535	G85681	G76536	G76537	G85683	G76538	G85684	G76539	G76540	G85685	G85686	G76541	G85687	G76543	G85688	G76544	G85689	G76545	G85690	G76547	G85691	G76548	G85692	G76549	G76550	G85694	G79500	G85695	G79501	G85696	G79502	G85697	G79503	G85698	G79504	G85699	G79505	G85700	G79507	G85701	G79508	G85702	G79509	G85703	G79510	G85704	G79511	G85705	G79512	G85706	G79513	G85707	G79514	G85708	G79515	G85709	G79516	G86048	G79517	G86049	G79518	G86050	G79519	G86051	G79520	G86052	G79521	G86053	G79522	G86054	G79523	G86055	G79524	G86057	G79525	G86058	G79526	G86059	G79527	G86060	G79528	G86061	G79529	G86062	G79530	G86064	G79531	G86065	G79532	G86068	G79533	G86069	G79534	G86070	G79535	G86071	G79536	G86072	G79538	G86073	G79539	G86074	G79540	G86075	G79541	G86077	G79542	G86079	G79543	G86080	G79544	G86082	G79545	G79546	G79547	G79548	G79549	G79550	G79551	G79552	G79553	G79554	G79555	G79556	G79557	G79558	G79559	G79560	G79561	G79562	G79563	G79565	G79566	G79567	G79568	G79570	G79571	G79572	G79574	G79575	G79576	G79577	G79579	G79580	G79581	G79582	G79583	G79584	G79585	G79586	G79590	G79591	G79592	G85608	G85609	G85610	G85612	G85613	G85615	G85616	G85617	G85618	G85619	G85620	G85621	G85623	G85622	G85624	G85625	G85626	G85627	G85628	G85629	G85630	G85632	G85633	G85634	G85635	G85636	G85637	G85638	G85639	G85640	G85641	G85643	G85642	G85644	G76497
OTU8	1	0	0	0	1	0	5	77	1392	251	0	0	3	0	1377	0	0	0	0	1	0	0	31	0	766	3	0	1270	593	16	17	1826	0	4	322	1	3391	4	1272	12	31	0	0	0	0	0	1	0	1	0	4	0	677	0	0	0	2075	0	2	1	1	0	3	0	8	0	8	0	1	0	70	0	0	4	0	0	0	1	0	2	0	0	310	2	0	12034	0	2	100	1	0	0	3	0	41	0	4	1	0	2	0	6	1	11196	32	0	8	201	11	0	4945	1	1	0	3	1	2	0	1	3	0	1	17224	10257	6	1	2	0	0	6310	2	3265	7	6245	0	10	0	0	0	0	0	100	17	0	1	376	2	2	0	3	0	0	0	1	1	0	0	0	1	1	7	136	2	0	1	5740	1	19	0	1	0	12273	2	245	0	0	0	0	0	0	0	0	1	1	0	13	183	17802	1	1	0	1052	475	0	4	0	2	0	6710	0	9690	9143	13979	26153	2	0	0	8	0	9819	0	0	0	0	0	0	0	0	0	1	17	0	2256	77	0	0	2	220	0	0	0	1876	2	0	3420	4	0	2	1	3	0	123	1	1176	9222	0	2	7	6	1	1121	697	0	56	0
OTU10	1	0	0	0	2	0	3459	520	7503	741	4	0	1843	1055	1340	1268	387	3	0	0	802	4671	281	0	51	4	3	6995	4455	294	239	400	0	1963	42	3497	8	1099	0	4	23	0	0	0	0	0	123	0	1	1	19	3	12	6	21	0	862	0	3173	19	0	0	271	0	1	0	5	0	3445	0	0	0	91	1	80	31	0	2086	23	60	1359	3405	1102	11050	204	1344	10	1831	112	11	94	4	4300	4498	58	0	7190	2	0	0	1	301	2572	1728	59	1	551	27	153	1782	2771	922	1250	1	280	62	8	3652	0	3735	0	298	1404	641	788	1542	1180	394	75	271	3941	483	324	2402	9	2	11	1488	564	796	809	2	3	498	1	5915	1038	12	1223	1	115	4	21	1	9	275	4	3299	0	665	0	3055	0	79	67	2	7	480	1	440	0	8	63	745	1	5543	1	1	3	4	4	47	2655	0	3	0	6487	430	4161	1153	0	7813	1	0	683	8	0	2	271	0	540	1	0	0	0	5	0	0	9	795	1	1	12	28	19	8	2	3	0	0	15	17	0	0	0	2230	2	2282	1	1588	0	3979	0	0	5748	10	0	1137	5602	2	0	65	0	294	1771	0	6	59	1	9	2316	6004	0	1458	0
OTU9	140	0	0	0	61	2	877	77	14	86	0	0	202	7	1724	1149	50	74	0	0	3	130	370	0	72	1299	0	438	65	8	36	3	0	155	0	105	0	579	74	6	0	0	0	1	18	0	7067	183	9344	28	2	23	1266	0	8	0	829	0	287	2	4	0	1798	98	1	0	7	18	48	28	13	0	22	4	19	2	0	20	7	499	38	229	0	6	166	247	0	101	15	6	1054	187	176	253	0	65	595	41	1	0	0	7541	1125	6909	7	11834	24	42	3646	89	459	13022	5481	5851	2745	12451	2674	12	0	25	0	848	5548	13137	131	109	92	23	10	65	476	177	479	396	5	649	5	91	430	135	189	338	0	28	3	407	699	143	1069	3	76	138	29	0	12	146	56	49	6	31	4754	254	5113	28	131	170	33	2604	377	1	1968	54	284	294	577	136	498	6025	293	141	282	0	0	2103	38	0	141	7965	48	131	0	1137	120	67	5	138	10414	1429	143	354	113	303	2318	23	2	4	2808	6	0	114	2	2	0	826	446	9207	2086	215	1	1	12	1	704	0	0	224	3428	811	2076	63	220	452	0	0	120	0	0	50	52	1	0	0	3	376	59	0	77	2	329	11	92	408	0	116	0
OTU428	669	0	0	0	0	0	636	299	5917	469	36	1	1562	124	1983	295	15	8	0	0	120	2679	100	0	27	997	0	1525	1458	590	515	806	0	821	216	2728	19	123	0	4	8	0	2	0	0	0	1	0	1	100	2	57	15	13	88	0	725	8	3326	0	1	0	7	0	0	1	1	0	1821	0	0	0	64	2	338	10	0	613	224	61	17	1139	277	87	8	463	37	621	127	5	7	52	1172	2133	17	1	309	339	0	0	0	11	2127	337	31	22	26	173	21	0	2899	44	66	14	724	21	15	30	0	2413	0	1177	686	402	7514	2	11746	3994	64	1285	2800	3071	500	3747	13	21	19	5760	840	1	692	4	5174	1340	3060	1341	267	0	206	3	53	1966	14	1	5	1423	8	2	2	149	8	2220	1	91	1685	2171	169	1198	1	2665	6	168	1	2875	0	4210	2	1080	2341	96	0	608	2128	0	449	505	2259	258	1256	3094	1	1092	1773	4	807	1819	0	0	1919	537	1616	1	0	0	2	2	2	5	5	0	0	0	15	23	77	1339	957	545	1	0	12	243	0	1	0	1651	2	7805	4	5669	0	1683	0	0	1626	1	0	323	2203	0	5	14	1	176	3039	0	1091	42	3	117	306	2097	0	955	0
OTU11	68	0	0	0	163	0	7959	20	22	24	0	0	1	106	642	425	40	66	0	0	11	137	63	0	124	282	0	575	2751	142	160	7	0	200	50	231	169	3	86	0	0	0	0	0	0	0	3019	0	0	0	5	14	54	0	15	0	693	0	158	0	0	0	814	0	5	0	4	0	155	23	26	0	171	4	28	0	0	104	21	224	70	1638	4	0	0	1814	0	101	0	9	0	142	684	31	17	261	537	57	0	1	0	4644	0	218	7	3435	26	2871	6552	535	472	11525	4182	6928	7920	0	10853	3	0	24	0	2023	891	3174	91	302	40	83	10	5	0	355	1687	344	17	827	17	1	2440	428	0	28	111	71	173	189	4	341	4	2006	9	389	546	1	232	509	107	191	28	10	7340	2987	10942	0	335	461	95	16	636	0	4441	4960	114	28	826	0	767	3621	82	156	837	0	0	1311	58	41	864	1653	104	1178	0	1387	70	260	21	186	7575	0	29	202	19	0	1	0	1	0	1	7	1	10	1	339	0	20	19	2905	2722	367	1	2	4	5	3510	1	0	0	5803	105	418	22	696	254	0	0	634	0	0	169	0	1	0	2	48	194	142	0	85	1	1709	12	162	630	0	41	0
OTU18	0	0	0	0	63	1342	2	0	0	0	28	0	13	3	678	5	4	0	1	0	0	0	1	0	21	1	0	13	4	0	25	2	0	30	3	434	0	120	0	2	2	238	0	571	152	0	7	362	3	1008	5323	264	0	5	25	0	528	0	3	0	447	126	0	593	0	141	0	22	32	10	279	0	0	10	2	24	0	3	133	0	10	39	0	5	6	0	662	87	483	0	0	213	992	139	27	283	11	185	0	1065	0	304	36	1	0	99	24	13	204	66	23	13	1	125	0	38	7	5503	0	10	0	807	0	1	4862	47	2636	213	12946	1288	11601	9	295	442	47	16	52	43	36	21	2530	267	3415	9	2195	8	40	902	42	138	6580	498	755	2564	513	547	6395	887	2144	0	190	371	610	3	210	30	11	7	1	128	4	9	1704	2	154	37	62	6	37	357	346	301	32	3	11	6996	33	1	0	91	3	17	118	379	43	648	36	4	3737	3	1457	1	1	8	4	56	17	5	1	52	1	64	0	1897	14	284	14	62	7126	0	12071	0	815	0	0	5	7	32	47	1493	242	0	0	0	25	0	19	23	32	306	0	0	0	0	8	0	322	1936	2032	70	24	48	0	3	0
OTU13	1078	0	0	0	1	0	154	177	416	641	0	0	0	299	226	735	173	0	0	0	0	0	0	0	0	0	0	0	0	856	580	169	0	1423	30	3398	7	5345	0	0	0	0	0	0	1	0	0	0	12	0	2	3	15	16	170	0	1	5	3	3	0	1	0	0	0	5	1	0	1098	0	0	0	76	0	248	41	0	1368	521	28	0	1587	102	2818	1028	577	9	2939	67	1	329	46	5158	4026	17	0	0	0	24	0	0	0	0	79	15	125	1	3	1	0	1325	1	1	378	23	318	16	0	0	2	0	2089	80	253	1780	0	3346	691	4	2168	2335	298	271	1120	7	1	11	1	414	0	480	0	11	919	1	1497	13390	2	10209	0	428	4704	37	0	21	2962	19	0	10	121	0	4589	3	0	2960	0	490	0	0	0	0	338	61	643	0	0	1	1	560	3787	0	0	0	0	0	3	0	50	0	7381	0	1	0	0	897	2314	1	0	697	7683	116	0	0	0	1	5	1	0	0	2609	0	0	0	172	5	1	0	0	0	0	0	292	0	0	0	0	1	161	1	0	0	1	0	0	2591	0	0	214	0	0	4	28	0	911	733	0	1610	6	1	3202	605	0	0	1077	0
OTU15	65	0	0	0	343	0	3053	39	56	15	0	0	1	292	5106	289	391	0	0	1	0	0	122	0	321	1602	0	390	1691	60	298	20	0	877	45	10	163	2	0	0	1	0	1	0	3	0	783	0	0	0	6	0	165	3	2	0	5	0	174	0	0	0	327	0	1	0	5	0	102	94	135	0	8	0	72	0	0	121	2	386	26	1853	15	0	0	2353	1	6	0	64	0	42	664	57	9	425	99	5	0	0	0	3086	1	9478	99	2	27	53	444	194	392	5988	732	2350	3169	5	38	12	0	5	0	13036	2703	3562	3	178	6	445	42	5	0	1077	15	1488	0	11	0	1642	45	246	0	18	0	118	0	171	1	412	0	3	0	366	16	1	16	45	9	367	0	14	1	1364	0	0	10	663	5	25	0	0	0	84	15	545	934	1	821	12418	257	154	0	1	0	1301	2	1	3272	7809	0	2328	2	345	506	375	2	297	3964	0	83	25	711	1	0	1	1	1	1	31	1	105	0	0	0	263	96	3159	1446	2002	1	0	0	1	2074	0	0	1	178	1043	215	647	76	532	0	0	2897	0	0	308	1	1	0	0	0	529	343	0	35	1	3054	0	2705	147	0	125	0
OTU14	1568	0	0	0	113	0	6704	224	89	306	3	0	0	402	0	53	655	0	0	0	66	963	228	0	321	0	3	1364	606	165	251	565	0	749	28	1675	121	9517	0	1	0	0	1	0	0	0	9	0	11	0	2	0	3	0	3	0	1	4	780	1	0	0	159	0	0	0	1	0	2275	7	0	0	0	0	2	0	0	12	0	0	453	63	41	8664	408	2543	344	4499	286	0	120	0	68	3442	0	71	16719	1	7	0	0	181	0	504	24	256	1	7	0	0	162	33	79	792	1	2477	15	2	0	1264	0	5	101	46	1578	0	2965	16	13	3436	0	163	4	1272	3	1	0	1	11	0	0	5	0	92	0	1034	3665	42	4411	1	256	4642	4	0	2	0	0	0	0	106	0	532	1	0	13	122	0	0	0	0	5	6	115	437	31	0	44	0	698	1635	0	56	0	0	0	0	603	45	1068	309	0	1114	30	14	1470	2850	0	0	1730	1025	3890	0	0	0	1	1	0	4	0	0	0	0	0	0	2	14	0	165	0	0	0	0	0	0	0	1	5	1	2	0	0	626	0	0	132	1	0	430	0	1	1	0	0	5188	429	0	6759	4	123	174	69	1705	0	1338	0
OTU23	2	0	0	0	2874	0	10829	86	9	47	0	0	1	464	289	1824	874	0	0	0	0	5	80	0	233	434	2	83	184	3	4	52	0	876	25	57	1	0	0	0	0	0	1	0	0	0	220	600	0	0	4	8	53	0	19	0	218	0	193	0	3	0	719	0	1	0	0	0	128	98	109	0	50	727	334	8	0	105	1	15	42	2041	8	1	0	165	8	84	14	54	0	52	3053	697	0	3061	460	3	0	0	0	1414	0	37	10	2	7	194	83	591	193	490	60	1	124	0	2	3	0	0	0	2238	159	1747	53	583	76	174	378	34	722	209	889	391	6	3	11	0	1857	749	116	27	3	208	1	1316	3	1529	0	2	7	560	284	0	198	159	178	1836	19	105	13901	32	11240	0	694	220	203	8	744	1	5695	6	1	123	4793	0	1399	462	55	1	620	1	0	513	10	0	476	2930	13	50	0	1468	339	782	28	1082	2	0	49	866	80	6230	216	21	0	5	2	12	0	7	0	0	0	192	37	993	88	183	0	0	4	2	1	0	0	0	4	91	245	0	0	1919	0	0	47	0	0	3619	0	1	0	0	1	565	484	0	259	2	10225	0	10	299	0	384	0
