# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
G40396	17021	14063	56
G40395	114544	92007	1569
G40394	161511	129902	282
G40398	21192	18138	62
G47437	89904	81641	1347
G47436	167011	157117	437
G47435	64176	51186	1509
G47434	73670	63880	894
G47433	87595	82476	334
G47432	127750	116386	987
G47431	139718	131156	394
G47430	92170	86047	548
G47439	87897	71840	1794
G47438	68215	63085	380
