# OTU	G34185	G34220	G34187	G34186	G34181	G34180	G34183	G34182	G34228	G34229	G34189	G34188	G34227	G44044	G44043	G44041	G44040	G34237	G89736	G34221	G34222	G44038	G44039	G28745	G44094	G34196	G44090	G44093	G34217	G34195	G34192	G34193	G34212	G75308	G75309	G75304	G75305	G75306	G75307	G75302	G75303	G44081	G44089	G75316	G44095	G44076	G44074	G75321	G28775	G28774	G75274	G75277	G75270	G75271	G75272	G75273	G75278	G44065	G44066	G44062	G75269	G75268	G34206	G34207	G34204	G34202	G34203	G34200	G34201	G44050	G34208	G34209	G28715	G44100	G28711	G75298	G28712	G75290	G75291	G34215	G34214	G34194	G34216	G34211	G34210	G34190	G34191	G34219	G34218	G34198	G34199	G75353	G75288	G75285	G75287	G75286	G75281	G75280	G75283	taxonomy
168071	0	0	3	1	3	0	1	2	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	2	0	0	13	0	0	0	3	0	0	0	1	0	0	17	0	0	0	0	86	0	0	1	0	0	0	18	0	0	0	0	0	0	0	9	0	258	0	18	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	11	11	0	0	0	0	0	0	4	2	0	0	0	0	0	27	48	38	2	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
305460	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
1056816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Dehalobacteriaceae; g__Dehalobacterium; s__
326662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1340	0	0	0	0	484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
2256425	1	0	0	1	1	0	0	0	0	0	2	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	2	0	1	1	0	0	0	0	11	0	0	0	0	0	0	7	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	10	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__; s__
583117	0	0	3	0	0	1	0	3	0	0	0	0	0	1	41	4	0	0	2	0	0	1	0	5	20	0	65	0	0	0	1	1	0	0	6	0	3	160	3	0	0	0	8	0	0	6	0	40	0	0	0	0	0	0	0	0	0	11	0	3116	0	3	0	4	0	0	0	0	0	38	2	0	0	0	4	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	83	163	308	204	53	17	14	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
366584	17	0	16	12	21	13	54	26	0	0	6	14	0	0	664	0	1	0	0	0	0	0	0	53	0	0	420	1	0	0	29	0	0	0	68	0	0	0	0	0	0	1	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	146	0	0	0	62	0	0	0	0	0	0	0	1	0	0	0	1	50	0	0	0	0	0	0	0	0	0	0	13	28	0	0	0	0	0	163	1	143	16	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
398138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
312586	6	0	2	0	1	1	0	1	0	2	0	0	0	0	73	134	1	0	29	0	1	0	159	0	481	5	3	33	0	0	0	1	1	24	47	330	0	0	29	0	0	0	1154	0	0	0	516	0	0	0	15	4	0	0	79	28	39	1	128	1	0	0	0	4	0	1	5	0	20	834	2	0	0	129	4	0	0	77	188	5	4	0	0	1	0	0	0	9	0	0	2	0	0	0	0	0	12	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
325419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
190534	20	0	12	9	33	20	59	1	4	4	4	9	2	0	271	17	0	2	31	0	0	0	12	0	68	2	227	8	4	5	14	5	0	1	42	25	9	16	8	0	0	0	12	0	0	0	35	0	0	4	0	0	0	3	11	14	0	93	4	102	0	82	13	1	0	0	0	0	0	66	14	6	0	56	102	0	0	9	10	17	4	4	7	4	8	37	10	2	0	0	0	11	10	34	12	3	26	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__
325850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__RF32; f__; g__; s__
